College Name,City
CCSHAU Hisar - Chaudhary Charan Singh Haryana Agricultural University,Hisar
SRM Valliammai Engineering College,Kancheepuram
JEC Chennai - Jaya Engineering College,Chennai
College of Engineering,Bhubaneswar
School of Management Sciences,Lucknow
Presidency University,Bangalore
NSEC Kolkata - Netaji Subhash Engineering College,Garia
GH Raisoni University,Chhindwara
IES University,Bhopal
LNCT University,Bhopal
Mandsaur University,Mandsaur
RKDF University,Bhopal
Sarvepalli Radhakrishnan University,Bhopal
Sri Satya Sai University of Technology and Medical Sciences,Sehore
SGSITS Indore - Shri Govindram Seksaria Institute of Technology and Science,Indore
Swami Vivekanand University,Sagar
SUAS Indore - Symbiosis University of Applied Sciences,Indore
Techno Global University,Sironj
Jagannath University,Jaipur
MCET Pollachi - Dr Mahalingam College of Engineering and Technology,Pollachi
AITH Kanpur - Dr Ambedkar Institute of Technology for Handicapped,Kanpur
RGCET - Rajiv Gandhi College of Engineering and Technology,Pondicherry
GEC Gudlavalleru - Seshadri Rao Gudlavalleru Engineering College,Gudlavalleru
FGIET Raebareli - Feroze Gandhi Institute of Engineering and Technology,Raebareli
MACE Kothamangalam - Mar Athanasius College of Engineering,Kothamangalam
Mahendra Engineering College,Namakkal
MKCE Karur - M Kumarasamy College of Engineering,Karur
NBKRIST Nellore - NBKR Institute of Science and Technology,Vidyanagar
Vidyashilp University,Bengaluru
TKR College of Engineering and Technology,Hyderabad
Government Hydro Engineering College,Bilaspur
Shri Chhatrapati Shivaji College of Engineering,Ahmednagar
College of Engineering,Guindy
Sarala Birla University,Ranchi
Vasantrao Naik Marathwada Krishi Vidyapeeth,Parbhani
MITS Gwalior - Madhav Institute of Technology and Science,Gwalior
BITS Hyderabad - BITS Pilani- Hyderabad Campus,Hyderabad
Gandhigram Rural Institute,Dindigul
Dhanalakshmi Srinivasan Engineering College,Perambalur
Dr CV Raman University,Vaishali
AKU Patna - Aryabhatta Knowledge University,Patna
Lalit Narayan Mithila University,Darbhanga
CEPT University,Ahmedabad
Poornima College of Engineering,Jaipur
UCEK Kancheepuram - University College of Engineering,Kancheepuram
Visakha Institute of Engineering and Technology,Visakhapatnam
Sri Guru Granth Sahib World University,Fatehgarh Sahib
DIT University,Dehradun
St Marys Group of Institutions,Guntur
Bengal College of Engineering,Durgapur
Rajkiya Engineering College,Mirzapur
Supreme Knowledge Foundation Group of Institutions,Hooghly
SCCE Karimnagar - Sree Chaitanya College of Engineering,Karimnagar
Modern Institute of Engineering and Technology,Hooghly
Mekapati Rajamohan Reddy Institute of Technology and Science,Nellore
NBN Sinhgad School of Engineering,Ambegaon
St Peter's College of Engineering and Technology,Chennai
St Mary's Technical Campus,Kolkata
SNGCE Ernakulam - Sree Narayana Gurukulam College of Engineering,Ernakulam
Sree Buddha College of Engineering,Alappuzha
Pillai College of Engineering,New Panvel
PBR Visvodaya Engineering College,Nellore
SITMS Ratlam - Srajan Institute of Technology Management and Science,Ratlam
SRIIT Hyderabad - SR International Institute of Technology,Ranga Reddy
MG College of Engineering,Thiruvananthapuram
MIT Imphal - Manipur Institute of Technology,Takyelpat
Maratha Vidya Prasarak Samaj's Karmaveer Adv Baburao Ganpatrao Thakare College of Engineering,Nashik
Narsimha Reddy Engineering College,Ranga Reddy
Narnarayan Shastri Institute of Technology,Ahmedabad
MMCT Raipur - MM College of Technology,Raipur
MITS Bhopal - Millennium Institute of Technology and Science,Bhopal
MIT Modinagar - Modinagar Institute of Technology,Modinagar
MNSK College of Engineering,Pudukkottai
MNR College of Engineering and Technology,Sangareddy
Parvatha Reddy Babul Reddy Visvodaya Institute of Technology and Science,Nellore
PKIET Karaikal - Perunthalaivar Kamarajar Institute of Engineering and Technology,Karaikal
Neelkanth Institute of Technology,Meerut
Neelam College of Engineering and Technology,Agra
Nathdwara Institute of Engineering and Technology,Nathdwara
Mar Ephraem College of Engineering and Technology,Kanyakumari
Mangalam College of Engineering,Kottayam
MIST Indore - Malwa Institute of Science and Technology,Indore
Mallabhum Institute of Technology,Bankura
Methodist College of Engineering and Technology,Hyderabad
Megha Institute of Engineering and Technology for Women,Ghatkesar
Bir Tikendrajit University,Imphal
SRM Institute of Science and Technology,Tiruchirappalli
Joy University,Vadakkankulam
Horticultural College and Research Institute Tamil Nadu Agricultural University,Coimbatore
College of Agricultural Engineering and Technology,Narmada
Dadasaheb Mokashi College of Agricultural Engineering and Technology,Rajmachi
BGS College of Engineering and Technology,Bengaluru
Visvesvaraya Technological University Regional Center,Mysuru
College of Food Technology,Ashti
Government College of Architecture and Sculpture,Mahabalipuram
NIMS Institute of Engineering and Technology NIMS University,Jaipur
College of Agricultural Engineering,Sangareddy
Aditya College of Engineering and Technology,Bengaluru
JNTU Engineering College,Mahabubabad
Cherraan College of Technology,Tirupur
Kishkinda University,Bellary
Vijayam Institute of Technology,Chittoor
KMCT Institute of Emerging Technology and Management,Kozhikode
Amity University,Bengaluru
Koneru Lakshmaiah Education Foundation Off Campus,Bachupally
Shobhit University,Gangoh
Stanley College of Engineering and Technology for Women,Hyderabad
Sri Vani Educational Society Group of Institutions,Vijayawada
MMCOE Pune - Marathwada Mitra Mandal's College of Engineering,Pune
IIMT University,Meerut
PCCOE Pune - Pimpri Chinchwad College of Engineering,Pune
Madhyanchal Professional University,Bhopal
Netaji Subhas University of Technology East Campus,Delhi
Techno Main,Salt Lake
Jamia Hamdard,New Delhi
Haridwar University,Roorkee
Kalinga University,Raipur
SSM College of Engineering,Baramulla
Ahmedabad University - Ahmedabad University,Ahmedabad
BIT Sathy - Bannari Amman Institute of Technology,Erode
KCCITM Greater Noida - KCC Institute of Technology and Management,Greater Noida
Techno India University,Kolkata
PSIT Kanpur - PSIT-Pranveer Singh Institute of Technology,Kanpur
Apeejay Stya University,Sohna
St Joseph University,Dimapur
CGC College of Engineering,Landran Campus
Alagappa College of Technology,Chennai
JIS College of Engineering,Nadia
IIIT Kalyani - Indian Institute of Information Technology Kalyani,NULL
IIIT Kottayam - Indian Institute of Information Technology,Kottayam
Dr Subhash University,Junagadh
Bhimavaram Institute of Engineering and Technology,Bhimavaram
Raghu Institute of Technology,Visakhapatnam
Bhaskar Engineering College,Ranga Reddy
Madha Institute of Engineering and Technology,Chennai
Sai School of Engineering and Technology,Palampur
IIIT Agartala - Indian Institute of Information Technology,Agartala
Graphic Era Hill University,Bhimtal Campus
Charutar Vidya Mandal University,Anand
KITSW Warangal - Kakatiya Institute of Technology and Science,Warangal
NSHM Knowledge Campus,Durgapur
APGSU Shimla - Alakh Prakash Goyal Shimla University,Shimla
SDEC Ghaziabad - Sunder Deep Engineering College,Ghaziabad
RCPIT Shirpur - RC Patel Institute of Technology,Shirpur
AMC Engineering College,Bangalore
UIT Burdwan - University Institute of Technology The University of Burdwan,Burdwan
Keystone School of Engineering,Pune
Jaipur National University - Jaipur National University,Jaipur
BITS VIZAG - Baba Institute of Technology and Sciences,Visakhapatnam
Dadi Institute of Engineering and Technology,Visakhapatnam
UEM Jaipur - University of Engineering and Management,Jaipur
RRU - Rashtriya Raksha University,Gandhinagar
Sri Sai University,Palampur
IIITDM Kurnool - Indian Institute of Information Technology Design and Manufacturing Kurnool,NULL
PJTSAU Hyderabad - Professor Jayashankar Telangana State Agricultural University,Hyderabad
IIIT Dharwad - Indian Institute of Information Technology Dharwad,NULL
SMIT Sikkim - Sikkim Manipal Institute of Technology Majitar,East Sikkim
MVJ College of Engineering,Bangalore
SDAU Sardarkrushinagar - Sardarkrushinagar Dantiwada Agricultural University,Sardarkrushinagar
Gandhinagar University,Gandhinagar
CDLU Sirsa - Chaudhary Devi Lal University,Sirsa
Quantum School of Technology,Roorkee
KR Mangalam University,Gurgaon
Navrachana University,Vadodara
Rai University,Ahmedabad
Sikkim Professional University,Sikkim
Anand Agricultural University,Anand
DDU Nadiad - Dharmsinh Desai University,Nadiad
Kamdhenu University,Gandhinagar
NIILM University,Kaithal
Rajiv Gandhi University of Knowledge Technologies,Nuzvid
Malla Reddy Engineering College,Secunderabad
Atria University,Bengaluru
Noorul Islam Centre For Higher Education,Kanyakumari
Sindhudurg Shikshan Prasarak Mandal's College of Engineering,Sindhudurg
RCET Bhilai - Rungta College of Engineering and Technology,Bhilai
CAHCET Vellore - C Abdul Hakeem College of Engineering and Technology,Melvisharam
IERT Allahabad - Institute of Engineering and Rural Technology,Allahabad
Shri Ramswaroop Memorial College of Engineering and Management,Lucknow
GIET Rajahmundry - Godavari Institute of Engineering and Technology,Rajahmundry
Abhilashi University,Mandi
ICFAI University,Himachal Pradesh
Srinivasa Institute of Engineering and Technology,Amalapuram
BPSMV Sonipat - Bhagat Phool Singh Mahila Vishwavidyalaya,Khanpur Kalan
DYPIET Pimpri - Dr DY Patil Institute of Technology,Pune
Marwadi Education Foundation Group of Institutions,Rajkot
GKV Haridwar - Gurukula Kangri Vishwavidyalaya,Haridwar
BBDNIIT Lucknow - Babu Banarasi Das Northern India Institute of Technology,Lucknow
AMAKSIK College of Technology and Management,Anakapalle
NRI Institute of Technology,Kothur
JNAFAU SPA Hyderabad - Jawaharlal Nehru Architecture and Fine Arts University School of Planning and Architecture,Hyderabad
Alipurduar Government Engineering and Management College,Alipurduar
GH Raisoni Institute of Engineering and Technology,Nagpur
Chatrapati Shivaji Maharaj College of Aviation Technology,Ambajogai
Central University Jammu - Central University of Jammu,Jammu
Jharkhand Rai University,Ranchi
Rabindranath Tagore University,Raisen
Sai Nath University,Ranchi
Usha Martin University,Ranchi
Maharishi University of Information Technology,Lucknow
Vidya Vikas Pratishthan Institute of Engineering and Technology,Solapur
JIST Jorhat - Jorhat Institute of Science and Technology,Jorhat
Garden City University,Bangalore
KLE Technological University,Hubballi
DY Patil College of Engineering,Pune
Khangchendzonga State University,Sikkim
Siddhartha Institute of Engineering and Technology,Puttur
MIET Jammu - Model Institute of Engineering and Technology,Jammu
Mahavir Institute of Engineering and Technology,Bhubaneswar
Malwa Institute of Technology (MIT) Indore - Malwa Institute of Technology,Indore
Malabar College of Engineering and Technology,Thrissur
MSIT Sonepat - Mahaveer Swami Institute of Technology,Sonipat
MECW Mewat - Mewat Engineering College,Mewat
MES College of Engineering and Technology,Kunnukara
GCT Coimbatore - Government College of Technology,Coimbatore
GCE KANNUR - Government College of Engineering,Kannur
Narayana Engineering College,Gudur
Sree Dattha Institute of Engineering and Sciences,Ibrahimpatnam
Excel Engineering College,Namakkal
MIT Mysore - Maharaja Institute of Technology,Mysore
Einstein College of Engineering,Tirunelveli
Echelon Institute of Technology,Faridabad
PESITM Shimoga - PES Institute of Technology and Management,Shimoga
MAMCE Tiruchirappalli - MAM College of Engineering,Tiruchirappalli
MRIET Secunderabad - Malla Reddy Institute of Engineering and Technology,Medchal
Visvodaya Engineering College,Kavali
MET Engineering College,Kanyakumari
Jyothishmathi Institute of Technological Sciences,Karimnagar
Maharaja Agrasen Institute of Technology,Solan
NFSC Nagpur - National Fire Service College,Nagpur
BFIT Dehradun - BFIT Group of Institutions,Dehradun
New Horizon Institute of Technology and Management,Thane
Moti Babu Institute of Technology,Forbesanj
East West College of Engineering,Bangalore
Technocrats Institute of Technology Computer Science and Engineering,Bhopal
MGM College of Engineering and Technology,Ernakulam
Centurion University of Technology and Management,Vizianagaram
Yashwantrao Bhonsale Institute of Technology,Sindhudurg
ALIET Vijayawada - Andhra Loyola Institute of Engineering and Technology,Vijayawada
ADGITM New Delhi - Dr Akhilesh Das Gupta Institute of Technology and Management,New Delhi
Prof Ram Meghe Institute of Technology and Research,Badnera
GITAM School of Technology,Hyderabad
Newton School of Technology,Sonipat
Doon University,Dehradun
Avanthi Institute of Engineering and Technology,Hayathnagar
SRIT Coimbatore - Sri Ramakrishna Institute of Technology,Coimbatore
Government College of Engineering,Chandrapur
Sree Venkateswara Engineering College,Nellore
Vikrama Simhapuri University College of Engineering,Nellore
NIIS Institute of Engineering and Technology,Khordha
Jawaharlal Nehru Technological University,Gurajada
SNDT Womens University,Mumbai
BVCITS East Godavari - Bonam Venkata Chalamayya Institute of Technology and Science,East Godavari
Sree Venkateswara College of Engineering,Nellore
Amity University,Raipur
Dr YSR Architecture and Fine Arts University,Kadapa
Sagar Institute of Research and Technology-Excellence,Bhopal
SHUATS Allahabad - Sam Higginbottom Institute of Agriculture Technology and Science,Allahabad
AM Reddy Memorial College of Engineering and Technology,Narasaraopet
Anna University Regional Campus,Coimbatore
Capital University,Koderma
Vijaybhoomi University,Mumbai
MNR University,Hyderabad
BBDU Lucknow - Babu Banarasi Das University,Lucknow
MSEC Bangalore - MS Engineering College,Bangalore
Geethanjali College of Engineering and Technology,Keesara
SIT Darjeeling - Siliguri Institute of Technology,Darjeeling
GNIOT Greater Noida - Greater Noida Institute of Technology Engineering Institute,Greater Noida
BSIT Hyderabad - Bandari Srinivas Institute of Technology,Ranga Reddy
BEC Bapatla - Bapatla Engineering College,Bapatla
MSRUAS Bangalore - MS Ramaiah University of Applied Sciences,Bangalore
NIIT University,Neemrana
KHIT Guntur - Kallam Haranadha Reddy Institute of Technology,Guntur
Kalka Engineering College,Meerut
KCNIT Banda - Kali Charan Nigam Institute of Technology,Banda
Kalam Institute of Technology,Berhampur
Kalaivani College of Technology,Coimbatore
KITS Divili - Kakinada Institute of Technology and Science,Divili
KIET Korangi - Kakinada Institute of Engineering and Technology-II,Korangi
Kakinada Institute of Engineering and Technology for Women,Korangi
KLN College of Engineering,Pottapalayam
KJ Institute of Engineering and Technology,Vadodara
KJ College of Engineering and Management Research,Pune
Jyothishmathi Institute of Technology and Science,Karimnagar
Jyothishmathi College of Engineering and Technology,Shamirpet
JEC Jorhat - Jorhat Engineering College,Jorhat
John Cox Memorial CSI Institute of Technology,Thiruvananthapuram
Joe Suresh Engineering College,Tirunelveli
JIT Nagpur - Jhulelal Institute of Technology,Nagpur
Jayam College of Engineering and Technology,Dharmapuri
Jaya Institute of Technology and Science for Women,Warangal
Jai Shriram Engineering College,Tirupur
Jawaharlal Institute of Technology,Borawan
Jauhar Institute of Engineering and Technology,Rampur
Jaipur Institute of Engineering and Technology,Jaipur
JIEM Jaipur - Jaipur Institute of Engineering and Management,Jaipur
JEC Jaipur - Jaipur Engineering College,Jaipur
Jain Institute of Technology,Davangere
JCOE Kuran - Jaihind College of Engineering,Pune
Jagannath Institute of Engineering and Technology,Cuttack
JKK Nattraja College of Engineering and Technology,Komarapalayam
JK Institute of Engineering,Bilaspur
IMI Greater Noida - International Maritime Institute,Greater Noida
International College of Engineering,Ghaziabad
Integral Institute of Information Technology and Management,Gwalior
ITM Lucknow - Institute of Technology and Management,Lucknow
Institute of Technology and Sciences,Bhiwani
ZHCET Aligarh - Zakir Husain College of Engineering and Technology Aligarh Muslim University,Aligarh
Makhanlal Chaturvedi National University of Journalism and Communication,Bhopal
MGCGV Chitrakoot - Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya,Chitrakoot
SCSVMV University - Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Kanchipuram
FIET Bareilly - Future Institute of Engineering and Technology,Bareilly
CSPIT Anand - Chandubhai S Patel Institute of Technology,Anand
SITS Narhe - Sinhgad Institute of Technology and Science,Narhe
Bhoj Reddy Engineering College for Women,Hyderabad
Meerut Institute of Engineering and Technology,Meerut
FAMT Ratnagiri - Finolex Academy of Management and Technology,Ratnagiri
DY Patil Agriculture and Technical University,Talsande
ITM University,Gwalior
CEC Mangalore - Canara Engineering College,Mangalore
Vignan Institute of Technology and Science,Nalgonda
Viswajyothi College of Engineering and Technology,Ernakulam
Maharana Pratap Engineering College,Kanpur
DDU Gorakhpur - Deen Dayal Upadhyaya Gorakhpur University,Gorakhpur
SIESGST Navi Mumbai - SIES Graduate School of Technology,Navi Mumbai
Vikas College of Engineering and Technology,Vijayawada
Sagar Institute of Research and Technology,Bhopal
ACEIT Jaipur - Arya College of Engineering and IT,Jaipur
Raja Balwant Singh Engineering Technical Campus,Bichpuri
Arya College of Engineering,Jaipur
Teerthanker Mahaveer College of Computing Sciences and Information Technology,Moradabad
JNU Delhi - Jawaharlal Nehru University,New Delhi
Krishna University,Machilipatnam
Chandra Shekhar Azad University of Agriculture and Technology,Kanpur
Poornima University,Jaipur
Indus University,Ahmedabad
Maharana Pratap University of Agriculture and Technology,Udaipur
Khwaja Moinuddin Chishti Language University,Lucknow
Seacom Skills University,Birbhum
ITM Vocational University,Vadodara
RNB Global University,Bikaner
Raffles University,Neemrana
GSFC University,Vadodara
The Neotia University,Kolkata
Surya World University,Patiala
Aklia Educational and Research Society Group of Institutions,Bathinda
Akal University,Bathinda
Govind Guru Tribal University,Banswara
IK Gujral Punjab Technical University Campus,Bhikhiwind
IK Gujral Punjab Technical University Campus,Dinanagar
Maharaja Ranjit Singh Punjab Technical University,Bathinda
IIPE Visakhapatnam - Indian Institute of Petroleum and Energy Visakhapatnam,NULL
Bhagwant Global University,Kotdwar
Manipur Technical University,Imphal
Visakha Technical Campus Varaha Lakshmi Narasimha Swamy Educational Trust Group of Institutions,Visakhapatnam
Vishwabharati Academy's College of Engineering,Ahmednagar
Vidya Vikas Education Trust's Technical Campus,Thane
Vidya Niketan Institute of Engineering and Technology,Nagpur
VMIT Nagpur - VM Institute of Engineering and Technology,Nagpur
Shivganga Charitable Trust Sanglis Vishveshwarya Technical Campus,Miraj
Sandipani Technical Campus Faculty of Engineering and Polytechnic,Latur
Sai Institute of Engineering and Technology,Aurangabad
SBPCOE Pune - SB Patil College of Engineering,Pune
Dr DY Patil College of Agricultural Engineering and Technology,Kolhapur
Manajiraje Bhosale Technical Campus Faculty of Engineering,Sangli
Institute of Knowledge College of Engineering,Pune
Hanuman Vyayam Prasarak Mandal's College of Engineering and Technology,Amravati
GH Raisoni Institute of Engineering and Management,Jalgaon
DYPCET Kolhapur - DY Patil College of Engineering and Technology,Kolhapur
DY Patil School of Engineering Academy,Ambi
DBIT Mumbai - Don Bosco Institute of Technology,Mumbai
VKK Vijayan College of Engineering,Sriperumbudur
UCEN Nagercoil - University College of Engineering,Nagercoil
Renganayagi Varatharaj College of Engineering,Sivakasi
Ambal Professional Group of Institutions,Coimbatore
Mount Zion College of Engineering and Technology,Pudukkottai
Karaikudi Institute of Technology,Karaikudi
Global Institute of Engineering and Technology,Vellore
Amrita Institute of Computer Technology,Chennai
Patanam Rajender Reddy Memorial Engineering College,Ranga Reddy
College of Agricultural Engineering Acharya NG Ranga Agricultural University,Bapatla
Srinivasa Ramanujan Institute of Technology,Anantapur
Sri Raja Rajeswari Engineering College,Karepalli
Vaageshwari Engineering College,Karim Nagar
RRS College of Engineering and Technology,Medak
Princeton Institute of Engineering and Technology for Women,Ghatkesar
Modugula Kalavathamma Institute of Technology for Women,Cuddapah
Haji Mohammad Khasim Saheb and Mohammad Galab Saheb College of Engineering,Guntur
GVR&S Guntur - GVR and S College of Engineering and Technology,Guntur
Avanthi's Sri Gnaneswari Research and Technological Academy for Women,Bhogapuram
University BDT College of Engineering,Davangere
Sampoorna Institute of Technology and Research,Bangalore
Government Engineering College,Bellary
GSIT Karwar - Girijabai Sail Institute of Technology,Karwar
BKIT Bhalki - Bheemanna Khandre Institute of Technology,Bhalki
Department of Chemical Engineering Punjab University,Chandigarh
Institute of Science and Technology,Paschim Medinipur
Vikrant Institute of Technology and Management,Indore
Technocrats Institute of Technology and Science,Bhopal
ShriRam College of Engineering and Management,Banmore
Shri Rawatpura Sarkar Institute of Technology and Management,Jabalpur
Sakshi Institute of Technology and Management,Guna
Oriental Institute of Science and Technology,Jabalpur
Lakshmi Bai Sahuji Institute of Engineering and Technology,Jabalpur
BM College of Technology,Indore
All Saints' College of Technology,Bhopal
Vedavyasa Institute of Technology,Malappuram
TKM Kollam - TKM Institute of Technology,Kollam
SNM Institute of Management and Technology,Ernakulam
M Dasan Institute of Technology,Kozhikode
KVM College of Engineering and IT,Alappuzha
GEC Barton Hill - Government Engineering College Barton Hill,Thiruvananthapuram
Aryanet Institute of Technology,Palakkad
Ahalia School of Engineering and Technology,Palakkad
Radhakrishna Institute of Technology and Engineering,Bhubaneswar
NM Institute of Engineering and Technology,Bhubaneswar
Koustuv Institute of Technology,Khordha
BBEC Kokrajhar - Bineswar Brahma Engineering College,Kokrajhar
Scholar Institute of Technology and Management,Kamrup
Shaheed Bhagat Singh State University,Ferozepur
Yaduvanshi College of Engineering and Technology,Sohali
Shyam Institute of Engineering and Technology,Dausa
Shri Bhavani Niketan Institute of Technology and Management,Sikar
Sawai Madhopur College of Engineering and Technology,Sawai Madhopur
JECRC UDML College of Engineering,Jaipur
ECB Bikaner - Government Engineering College,Bikaner
CTAE Udaipur - College of Technology and Engineering Maharana Pratap University of Agriculture and Technology,Udaipur
Shree Ram Mulkh Institute of Engineering and Technology,Ambala
SRCEM Palwal - Shri Ram College of Engineering and Management,Palwal
BM Group of Institutions,Gurgaon
Shri Baba Mast Nath Engineering College,Rohtak
PLRCT Faridabad - Pt LR College of Technology Technical Campus,Faridabad
LR Institute of Engineering and Technology,Solan
SRET College of Engineering and Technology,Hamirpur
Pacific School of Engineering,Surat
SVPES Faculty of Engineering Technology and Research,Bardoli
VVP Engineering College,Rajkot
CIT Ranchi - Cambridge Institute of Technology,Ranchi
LCIT Bilaspur - Lakhmi Chand Institute of Technology,Bilaspur
Vidyadaan Institute of Technology and Management,Buxar
MCE Motihari - Motihari College of Engineering,Motihari
GBPEC Pauri-Garhwal - Govind Ballabh Pant Institute of Engineering and Technology,Pauri Garhwal
BTKIT Dwarahat - Bipin Tripathi Kumaon Institute of Technology,Dwarahat
Dev Bhoomi Institute of Technology for Women,Dehradun
Institute of Technology for Women,Gorakhpur
MIET Meerut - Mahaveer Institute of Engineering and Technology,Meerut
SVS Educational Park,Meerut
Vision Institute of Technology,Aligarh
Institute of Technology and Management,Maharajganj
Himalayan Institute of Technology and Management,Lucknow
Rishi Institute of Engineering and Technology,Meerut
Maharaja Agrasain Institute of Technology,Ghaziabad
ITM Meerut - Institute of Technology and Management,Meerut
College of Engineering and Technology,Moradabad
KNMIET Modinagar - Dr KN Modi Institute of Engineering and Technology,Modinagar
Government Engineering College,Mandya
Arunai Engineering College,Tiruvannamalai
Indus College of Engineering,Bhubaneswar
University College of Engineering,Thirukkuvalai
University College of Engineering,Ariyalur
University College of Engineering,Villupuram
Ganeshi Lal Narayandas Agarwal Institute of Technology,Mathura
VIRA College of Engineering Bijnor - Kunwar SatyaVira College of Engineering and Management,Bijnor
PCST Indore - Patel College of Science and Technology,Indore
University College of Engineering Punjabi University,Patiala
Surya School of Engineering and Technology,Patiala
SCRIET Meerut - Sir Chhotu Ram Institute of Engineering and Technology,Meerut
KSIT Bangalore - KS Institute of Technology,Bangalore
KCT College of Engineering and Technology,Sangrur
GSSSIETW Mysore - GSSS Institute of Engineering and Technology for Women,Mysore
Sri Kalahastheeswara Institute of Technology,Chittoor
Sree Kavitha Institute of Science and Technology ,Khammam
JNTUACEP Pulivendula - JNTUA College of Engineering,Pulivendula
SNGIST Ernakulam - Sree Narayana Guru Institute of Science and Technology,Ernakulam
Merchant Institute of Technology,Mehsana
GEC Rajkot - Government Engineering College,Rajkot
Government Engineering College,Palanpur
SRM Institute of Science and Technology,Ramapuram Campus
Sanjeevan Engineering and Technology Institute,Kolhapur
Shri Chhatrapati Shivajiraje College of Engineering,Pune
Pankaj Laddhad Institute of Technology and Management Studies,Buldana
Khandesh College Education Society's College of Engineering and Management,Jalgaon
Priyadarshini JL College of Engineering,Nagpur
Institute of Engineering and Technology,Indore
IEC College of Engineering and Technology,Greater Noida
HICET Coimbatore - Hindusthan College of Engineering and Technology,Coimbatore
Dr MC Saxena College of Engineering and Technology,Lucknow
BBS College of Engineering and Technology,Allahabad
Yugantar Institute of Technology and Management,Rajnandgaon
NDRK Institute of Technology,Hassan
VKS College of Engineering and Technology,Karur
Vizag Institute of Technology,Visakhapatnam
Vivekanandha Institute of Engineering and Technology for Women,Tiruchengode
Vivekananda Group of Institutions,Hayathnagar
VCTM Aligarh - Vivekananda College of Technology and Management,Aligarh
VITS Women's Engineering College,Karim Nagar
Viswanadha Institute of Technology and Management,Visakhapatnam
Visvesvaraya College of Engineering and Technology,Ibrahimpatnam
Vishwatmak Om Gurudev College of Engineering,Thane
Vishwa Bharathi College of Engineering,Hyderabad
Vinuthna Institute of Technology and Science,Warangal
Vins Christian Womens College of Engineering,Nagercoil
Vins Christian College of Engineering,Nagercoil
VITS Satna - Vindhya Institute of Technology and Science,Satna
Vimal Jyothi Engineering College,Kannur
School of Engineering and Technology Vikrant University,Gwalior
Vikash Institute of Technology,Bargarh
Vijnan Institute of Science and Technology,Ernakulam
Vijayanjali Institute of Technology,Balasore
Vijaya Krishna Institute of Technology and Sciences,Ranga Reddy
Vijaya Institute of Technology for Women,Vijayawada
Vignan's Institute of Engineering for Women,Visakhapatnam
VCE Meerut - Vidya College of Engineering,Meerut
Vidya Bhavan College for Engineering Technology,Kanpur
Vidya Bharathi Institute of Technology,Warangal
Vidhyadeep Institute of Engineering and Technology,Surat
Vidarbha Institute of Technology,Nagpur
Vickram College of Engineering,Enathi
Vetri Vinayaha College of Engineering and Technology,Tiruchirappalli
Vemu Institute of Technology,Chittoor
Vemana Institute of Technology,Bangalore
VKIT Bijnor - Veer Kunwar Institute of Technology,Bijnor
Vedica Institute of Technology,Bhopal
Visakha Technical Campus,Visakhapatnam
Varadha Reddy College of Engineering,Warangal
Valia Institute of Technology,Valia
Vaishnavi Institute of Technology and Science,Bhopal
Vaish College of Engineering,Rohtak
Vaagdevi Institute of Technology and Science,Kadapa
VSM College of Engineering,Ramachandrapuram
VRS College of Engineering and Technology,Villupuram
Siwan College of Engineering and Management,Siwan
SIRDA Institute of Engineering and Technology,Mandi
Sir Issac Newton College of Engineering and Technology,Nagapattinam
Sir CR Reddy College of Engineering,Eluru
Sindhura College of Engineering and Technology,Karim Nagar
Smt Indira Gandhi College of Engineering,Navi Mumbai
Siddhivinayak Technical Campus,Buldana
Shroff SR Rotary Institute of Chemical Technology,Bharuch
Shri Someshwar Shikshan Prasarak Mandal's Sharadchandra Pawar College of Engineering and Technology,Someshwarnagar
Shri Siddhi Vinayak Institute of Technology,Bareilly
Shri Shivaji Institute of Engineering and Management Studies,Parbhani
SSPACE Wardha - Shri Shankarprasad Agnihotri College of Engineering,Wardha
SSITM Bhilai - Shri Shankaracharya Institute of Technology and Management,Bhilai
Shri Sapthagiri Institute of Technology,Vellore
Jaywant College of Engineering and Polytechnic,Sangli
Sri Sai Institute of Engineering and Technology,Amritsar
Shri Krishna Institute of Technology and Management,Gwalior
Shri Krishna College of Engineering,Baghpat
Shri Jaykumar Rawal Institute of Technology,Dondaicha
Shri JM Sabva Institute of Engineering and Technology,Botad
Shri Chhatrapati Shivaji Maharaj College of Engineering,Ahmednagar
Shreenivasa Engineering College,Dharmapuri
Shreejee Institute of Technology and Management,Khargone
Shree Venkateshwara Hi-Tech Engineering College,Erode
SSASIT Surat - Shree Swami Atmanand Saraswati Institute of Technology,Surat
Shree Sathyam College of Engineering and Technology,Salem
Shree Institute of Technical Education,Tirupati
DBIT Dehradun - Dev Bhoomi Institute of Technology,Dehradun
Shivani College of Engineering and Technology,Tiruchirappalli
Shivajirao S Jondhale College of Engineering,Thane
SITE Bhubaneswar - Shibani Institute of Technical Education,Ganjam
SPCOE Pune - Sharadchandra Pawar College of Engineering,Pune
AG Patil Institute of Technology,Solapur
SVBIT Gandhinagar - Shankersinh Vaghela Bapu Institute of Technology,Gandhinagar
Shankara Institute of Technology,Jaipur
Shaikh College of Engineering and Technology,Belgaum
Shahul Hameed Memorial Engineering College,Kollam
Shahjehan College of Engineering and Technology,Chevella
Shah and Anchor Kutchhi Engineering College,Mumbai
Shaaz College of Engineering and Technology,Moinabad
SGT Institute of Engineering and Technology,Gurgaon
